Zone,Block,Pipe,Location_Code,Latitude,Longitude
Zone_4,Block_2,Pipe_3,Zone_4_Block_2_Pipe_3,25.162560340801903,55.23801823745861
Zone_3,Block_4,Pipe_1,Zone_3_Block_4_Pipe_1,25.09047288072893,55.1624763163165
Zone_2,Block_2,Pipe_5,Zone_2_Block_2_Pipe_5,25.279196109788145,55.28760074136686
Zone_5,Block_3,Pipe_2,Zone_5_Block_3_Pipe_2,25.19832595455472,55.26976543307166
Zone_3,Block_1,Pipe_1,Zone_3_Block_1_Pipe_1,25.099629939153804,55.16609809334769
Zone_5,Block_3,Pipe_4,Zone_5_Block_3_Pipe_4,25.196684233685552,55.28567101754788
Zone_2,Block_4,Pipe_2,Zone_2_Block_4_Pipe_2,25.279245888808813,55.29932632962912
Zone_5,Block_2,Pipe_1,Zone_5_Block_2_Pipe_1,25.193219257110147,55.27594336321348
Zone_4,Block_4,Pipe_1,Zone_4_Block_4_Pipe_1,25.155483474957464,55.22397450881357
Zone_2,Block_1,Pipe_5,Zone_2_Block_1_Pipe_5,25.283894928372543,55.30462557792945
Zone_3,Block_5,Pipe_4,Zone_3_Block_5_Pipe_4,25.100412660767745,55.1625063449589
Zone_3,Block_5,Pipe_4,Zone_3_Block_5_Pipe_4,25.10339678804633,55.1603318315198
Zone_4,Block_5,Pipe_4,Zone_4_Block_5_Pipe_4,25.15306347473323,55.235324240500105
Zone_1,Block_4,Pipe_5,Zone_1_Block_4_Pipe_5,25.203135925571143,55.2656532180251
Zone_5,Block_5,Pipe_5,Zone_5_Block_5_Pipe_5,25.189845998313675,55.28042112717359
Zone_3,Block_2,Pipe_4,Zone_3_Block_2_Pipe_4,25.097245564347222,55.16961693920826
Zone_4,Block_1,Pipe_1,Zone_4_Block_1_Pipe_1,25.149754920554344,55.2350270692874
Zone_5,Block_3,Pipe_4,Zone_5_Block_3_Pipe_4,25.195613705742467,55.289260769829454
Zone_2,Block_2,Pipe_5,Zone_2_Block_2_Pipe_5,25.2846508487873,55.29994515311836
Zone_4,Block_1,Pipe_4,Zone_4_Block_1_Pipe_4,25.146412230702268,55.23848311850829
Zone_2,Block_3,Pipe_5,Zone_2_Block_3_Pipe_5,25.276226975262876,55.30095815265015
Zone_2,Block_5,Pipe_4,Zone_2_Block_5_Pipe_4,25.27848358862406,55.29790393464914
Zone_2,Block_3,Pipe_1,Zone_2_Block_3_Pipe_1,25.276245077266687,55.2963077572957
Zone_5,Block_4,Pipe_1,Zone_5_Block_4_Pipe_1,25.18414029254165,55.28098338019477
Zone_1,Block_4,Pipe_5,Zone_1_Block_4_Pipe_5,25.202495726400464,55.26459953235221
Zone_2,Block_5,Pipe_5,Zone_2_Block_5_Pipe_5,25.27206696751704,55.28517797928348
